Type,Car_Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Range Rover,SUV,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2015,5.0,140000,260000
Optima,Sedan,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,42000
CX3,Crossover,Abha,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,58000
Cayenne S,SUV,Riyadh,Porsche,Automatic,Saudi,Full,2012,4.8,189000,85000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,155,48000
Avalon,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,81500
C300,Sedan,Makkah,Chrysler,Automatic,Saudi,Full,2013,5.7,200,55000
Land Cruiser,SUV,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,79000,145000
LS,Sedan,Dammam,Lexus,Automatic,Saudi,Full,2008,4.6,299000,38000
FJ,SUV,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,140000
Land Cruiser,SUV,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,71000,200000
Tucson,SUV,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,65000
Sunny,Sedan,Riyadh,Nissan,Manual,Saudi,Standard,2011,1.4,290,7000
Pajero,SUV,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,76000
Azera,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,32000
Focus,Hatchback,Khobar,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,23000
5,Sedan,Al-Baha,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,42000
Spark,Hatchback,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,20000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,23000
ML,SUV,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,45000
Corolla,Sedan,Jazan,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,30000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,149000
A,Hatchback,Riyadh,Mercedes,Automatic,Other,Standard,2021,2.0,10000,179000
Altima,Sedan,Aseer,Nissan,Automatic,Saudi,Full,2011,2.5,18500,22000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,55000
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,270000,49500
Liberty,SUV,Al-Medina,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,25000
X,Sedan,Jeddah,BMW,Automatic,Saudi,Full,2015,2.0,92000,72000
Land Cruiser Pickup,Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,98000,105000
Malibu,Sedan,Abha,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,57000
The 5,Sedan,Jeddah,BMW,Automatic,Saudi,Standard,2019,2.5,38000,140000
Patrol,SUV,Riyadh,Nissan,Automatic,Saudi,Full,2010,4.0,208000,72000
Sonata,Sedan,Makkah,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,110000
Grand Cherokee,SUV,Al-Namas,Jeep,Automatic,Saudi,Semi Full,2014,3.6,245000,55000
SL,Convertible,Jeddah,Mercedes,Automatic,Saudi,Full,2017,4.7,81000,265000
Previa,Minivan,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,56500
FJ,SUV,Jeddah,Toyota,Automatic,Saudi,Full,2015,4.0,228000,90000
MKZ,Sedan,Riyadh,Lincoln,Automatic,Saudi,Semi Full,2013,3.7,98100,71500
Datsun,Sedan,Dammam,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,29000
Hilux,Pickup,Dammam,Toyota,Manual,Saudi,Semi Full,2016,2.7,210800,62000
Yukon,SUV,Riyadh,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,88000,141000
Land Cruiser,SUV,Qassim,Toyota,Automatic,Saudi,Full,2019,4.5,82808,230000
GLC,SUV,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2020,2.0,4000,225000
Edge,SUV,Jeddah,Ford,Automatic,Saudi,Full,2011,3.5,70000,60000
6,Sedan,Jeddah,Mazda,Automatic,Saudi,Standard,2021,2.5,115,93000
Innova,MPV,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,68000
Navara,Pickup,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.0,45000,50000
Senta fe,SUV,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,3.3,50100,69000
G80,Sedan,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35449,121500
Carnival,Minivan,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,38000
Corolla,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,66200,51000
Camaro,Sports Car,Dammam,Chevrolet,Automatic,Other,Full,2018,3.6,89000,109000
Malibu,Sedan,Dammam,Chevrolet,Automatic,Saudi,Full,2016,3.6,105000,47000
C300,Sedan,Riyadh,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,88000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Semi Full,2011,1.6,212000,15000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2014,1.5,139740,20000
Azera,Sedan,Riyadh,Hyundai,Automatic,Other,Semi Full,2017,3.5,256,47000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,73000,142000
Datsun,Sedan,Qassim,Nissan,Manual,Saudi,Standard,2016,2.4,866,53000
Innova,MPV,Qassim,Toyota,Automatic,Saudi,Semi Full,2015,2.7,216,39000
Taurus,Sedan,Makkah,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,58000
Avalon,Sedan,Jeddah,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,78500
